date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:45:25	33645/33645	---M--	200	added ('OK')	image/jpeg	etag:%22836d-57290630a4900%22	https://makeabilitylab.cs.washington.edu/media/talks/images/BodyVis-DML_2017.jpg.420x0_q85_detail.jpg	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/images/BodyVis-DML_2017.jpg.420x0_q85_detail.jpg	(from https://makeabilitylab.cs.washington.edu/talks/)
17:45:26	39695/39695	---M--	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2021:45:26%20GMT	https://makeabilitylab.cs.washington.edu/news/?page=8	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/news/indexfdfa.html	(from https://makeabilitylab.cs.washington.edu/news/)
17:59:09	609405181/609405181	---M--	200	added ('OK')	application/octet-stream-unknown	etag:%222452c8fd-5778109e0300b%22	https://makeabilitylab.cs.washington.edu/media/talks/Froehlich_HCDEPhysCompGuestLecture_v2.1_OptimizedMedia.pptx	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/Froehlich_HCDEPhysCompGuestLecture_v2.1_OptimizedMedia.pptx	(from https://makeabilitylab.cs.washington.edu/talks/)
18:08:27	258714366/258714366	---M--	200	added ('OK')	application/pdf	etag:%22f6baafe-572905ccdd771%22	https://makeabilitylab.cs.washington.edu/media/talks/BodyVis-DML_2017.pdf	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/BodyVis-DML_2017.pdf	(from https://makeabilitylab.cs.washington.edu/talks/)
18:13:23	47713192/47713192	---M--	200	added ('OK')	application/pdf	etag:%222d80ba8-55127729cb400%22	https://makeabilitylab.cs.washington.edu/media/talks/ProjectSidewalk_ManaswiSaha_HCILSym2017.pdf	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/ProjectSidewalk_ManaswiSaha_HCILSym2017.pdf	(from https://makeabilitylab.cs.washington.edu/talks/)
18:13:24	18961/18961	---M--	200	added ('OK')	image/jpeg	etag:%224a11-55127740aea00%22	https://makeabilitylab.cs.washington.edu/media/talks/images/ProjectSidewalk_ManaswiSaha_HCILSym2017.jpg.420x0_q85_detail.jpg	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/images/ProjectSidewalk_ManaswiSaha_HCILSym2017.jpg.420x0_q85_detail.jpg	(from https://makeabilitylab.cs.washington.edu/talks/)
18:13:31	303634236/303634236	---M--	200	added ('OK')	application/octet-stream-unknown	etag:%221219173c-572905ec7d2c6%22	https://makeabilitylab.cs.washington.edu/media/talks/BodyVis-DML_2017.pptx	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/BodyVis-DML_2017.pptx	(from https://makeabilitylab.cs.washington.edu/talks/)
18:13:32	39425/39425	---M--	200	added ('OK')	image/jpeg	etag:%229a01-54fcf0c601000%22	https://makeabilitylab.cs.washington.edu/media/talks/images/CHI2017_Thermography_v0.2-TrimmedSandboxSlides-Slideshare.jpg.420x0_q85_detail.jpg	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/images/CHI2017_Thermography_v0.2-TrimmedSandboxSlides-Slideshare.jpg.420x0_q85_detail.jpg	(from https://makeabilitylab.cs.washington.edu/talks/)
18:14:21	22299070/22299070	---M--	200	added ('OK')	application/pdf	etag:%2215441be-54fcf0bc77980%22	https://makeabilitylab.cs.washington.edu/media/talks/CHI2017_Thermography_v0.2-TrimmedSandboxSlides-Slideshare.pdf	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/CHI2017_Thermography_v0.2-TrimmedSandboxSlides-Slideshare.pdf	(from https://makeabilitylab.cs.washington.edu/talks/)
18:14:21	9498085/9498085	---M--	200	added ('OK')	application/pdf	etag:%2290ede5-576f72af4270f%22	https://makeabilitylab.cs.washington.edu/media/publications/Mauriello_ExploringNoviceApproachesToSmartphoneBasedThermographicEnergyAuditingAFieldStudy_2017.pdf	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/publications/Mauriello_ExploringNoviceApproachesToSmartphoneBasedThermographicEnergyAuditingAFieldStudy_2017.pdf	(from https://makeabilitylab.cs.washington.edu/talks/)
18:14:22	35448/35448	---M--	200	added ('OK')	image/jpeg	etag:%228a78-572904351ff6d%22	https://makeabilitylab.cs.washington.edu/media/talks/images/LPSV_Ecosystems-CHI2017_Talk_-_FINAL.jpg.420x0_q85_detail.jpg	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/images/LPSV_Ecosystems-CHI2017_Talk_-_FINAL.jpg.420x0_q85_detail.jpg	(from https://makeabilitylab.cs.washington.edu/talks/)
18:14:43	662120055/662120055	---M--	200	added ('OK')	application/octet-stream-unknown	etag:%2227772677-577bc3a22e0bd%22	https://makeabilitylab.cs.washington.edu/media/talks/Froehlich_DubRetreatTalk_v1.3-Compressed.pptx	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/Froehlich_DubRetreatTalk_v1.3-Compressed.pptx	(from https://makeabilitylab.cs.washington.edu/talks/)
18:16:00	12043728/12043728	---M--	200	added ('OK')	application/pdf	etag:%22b7c5d0-5728b21a35028%22	https://makeabilitylab.cs.washington.edu/media/talks/UMBC_Fika_BBL_v8.pdf	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/UMBC_Fika_BBL_v8.pdf	(from https://makeabilitylab.cs.washington.edu/talks/)
18:16:01	44933/44933	---M--	200	added ('OK')	image/jpeg	etag:%22af85-5728b25852215%22	https://makeabilitylab.cs.washington.edu/media/talks/images/UMBC_Fika_BBL_v8.jpg.420x0_q85_detail.jpg	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/images/UMBC_Fika_BBL_v8.jpg.420x0_q85_detail.jpg	(from https://makeabilitylab.cs.washington.edu/talks/)
18:41:17	305202783/305202783	---M--	200	added ('OK')	application/pdf	etag:%221231065f-5729041a78515%22	https://makeabilitylab.cs.washington.edu/media/talks/LPSV_Ecosystems-CHI2017_Talk_-_FINAL.pdf	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/LPSV_Ecosystems-CHI2017_Talk_-_FINAL.pdf	(from https://makeabilitylab.cs.washington.edu/talks/)
18:47:00	348687622/348687622	---M--	200	added ('OK')	application/octet-stream-unknown	etag:%2214c88d06-5729048519b2b%22	https://makeabilitylab.cs.washington.edu/media/talks/LPSV_Ecosystems-CHI2017_Talk_-_FINAL.pptx	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/LPSV_Ecosystems-CHI2017_Talk_-_FINAL.pptx	(from https://makeabilitylab.cs.washington.edu/talks/)
18:47:25	305682493/305682493	---M--	200	added ('OK')	application/octet-stream-unknown	etag:%221238583d-5728b25796269%22	https://makeabilitylab.cs.washington.edu/media/talks/UMBC_Fika_BBL_v8.pptx	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/UMBC_Fika_BBL_v8.pptx	(from https://makeabilitylab.cs.washington.edu/talks/)
18:47:25	23442/23442	---M--	200	added ('OK')	image/jpeg	etag:%225b92-577bac3f62ae7%22	https://makeabilitylab.cs.washington.edu/media/talks/images/Froehlich_MakingWithASocialPurpose_2016.jpg.420x0_q85_detail.jpg	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/images/Froehlich_MakingWithASocialPurpose_2016.jpg.420x0_q85_detail.jpg	(from https://makeabilitylab.cs.washington.edu/talks/)
18:51:45	47188394/47188394	---M--	200	added ('OK')	application/pdf	etag:%222d009aa-577babe19c86a%22	https://makeabilitylab.cs.washington.edu/media/talks/Froehlich_MakingWithASocialPurpose_2016.pdf	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/Froehlich_MakingWithASocialPurpose_2016.pdf	(from https://makeabilitylab.cs.washington.edu/talks/)
18:56:54	49802051/49802051	---M--	200	added ('OK')	application/pdf	etag:%222f7eb43-570943ac151c5%22	https://makeabilitylab.cs.washington.edu/media/talks/Froehlich_OverviewTalk_v2.5_PostLTSEdits.pdf	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/Froehlich_OverviewTalk_v2.5_PostLTSEdits.pdf	(from https://makeabilitylab.cs.washington.edu/talks/)
18:56:55	23467/23467	---M--	200	added ('OK')	image/jpeg	etag:%225bab-551f09509c680%22	https://makeabilitylab.cs.washington.edu/media/talks/images/Froehlich_OverviewTalk_v2.5_PostLTSEdits.jpg.420x0_q85_detail.jpg	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/images/Froehlich_OverviewTalk_v2.5_PostLTSEdits.jpg.420x0_q85_detail.jpg	(from https://makeabilitylab.cs.washington.edu/talks/)
